809	773	762	727
819	774	762	734
826	775	763	736
833	777	766	740
835	782	767	789
837	782	767	790
846	783	768	791
851	786	770	2526
854	786	771	2527
858	787	772	2528
861	790	773	2528
862	792	774	2528
866	798	1117	2534
874	800	1120	2535
876	800	1121	2536
882	803	1124	2536
891	807	1124	2536
897	811	1124	2537
902	811	1125	2538
903	817	1125	2539
906	817	1125	2541
906	819	1126	2541
908	821	1126	2543
913	821	1126	2543
916	823	1128	2545
917	829	1131	4146
917	835	1131	4147
919	835	1133	4148
4204	840	1134	4151
4207	841	1134	22112
